   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 <frozen _collections_abc>:315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:362(__subclasshook__)
     1195    0.001    0.000    0.003    0.000 <frozen _collections_abc>:771(get)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:78(_check_methods)
        2    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        5    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        3    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
     24/7    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        4    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        6    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
      602    0.000    0.000    0.099    0.000 <frozen genericpath>:16(exists)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1044(_find_spec_legacy)
       13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
     13/1    0.000    0.000    0.506    0.506 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     13/1    0.000    0.000    0.506    0.506 <frozen importlib._bootstrap>:1165(_find_and_load)
      4/3    0.000    0.000    0.463    0.154 <frozen importlib._bootstrap>:1207(_handle_fromlist)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:23(_object_name)
     35/2    0.000    0.000    0.464    0.232 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
       12    0.000    0.000    0.457    0.038 <frozen importlib._bootstrap>:566(module_from_spec)
     12/1    0.000    0.000    0.505    0.505 <frozen importlib._bootstrap>:666(_load_unlocked)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
        3    0.000    0.000    0.042    0.014 <frozen importlib._bootstrap_external>:1007(get_code)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        3    0.000    0.000    0.042    0.014 <frozen importlib._bootstrap_external>:1127(get_data)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
        9    0.000    0.000    0.457    0.051 <frozen importlib._bootstrap_external>:1231(create_module)
      9/6    0.000    0.000    0.158    0.026 <frozen importlib._bootstrap_external>:1239(exec_module)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1562(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1568(<genexpr>)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1699(path_hook_for_FileFinder)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
      3/1    0.000    0.000    0.505    0.505 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen os>:1081(__subclasshook__)
     1195    0.001    0.000    0.002    0.000 <frozen os>:674(__getitem__)
     1195    0.001    0.000    0.001    0.000 <frozen os>:756(encode)
        6    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        8    0.000    0.000    0.000    0.000 <frozen posixpath>:131(splitdrive)
      598    0.001    0.000    0.002    0.000 <frozen posixpath>:150(dirname)
        6    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
     1206    0.000    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
      606    0.002    0.000    0.003    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.003    0.003 6487.210 6487.210 <string>:1(<module>)
        1    0.000    0.000    0.463    0.463 __init__.py:1(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:102(find_spec)
        2    0.000    0.000    0.000    0.000 __init__.py:109(<lambda>)
      597    0.001    0.000    0.027    0.000 __init__.py:111(resource_exists)
      598    0.000    0.000    0.027    0.000 __init__.py:1115(<genexpr>)
